나이/성별,특징,선호,불호
10대 여자,"한식 (밥, 국) 좋아하는 직장인","김치 (깍두기), 닭, 연체류 (낙지), 어류 (광어)",
20대 남자,채소 위주의 반찬을 자주 만드는 주부,"경채류 (두릅), 과채류 (호박), 과채류 (수박)",소고기
20대 남자,이가 불편해 부드러운 음식을 자주 섭취하는 여성,"두부, 유제품 (치즈)","갑각류 (게), 경채류 (아스파라거스)"
20대 남자,배달음식을 많이 먹는 자취생 (자극적인 재료),"닭, 돼지고기","과채류 (가지), 장과류 (무화과)"
20대 남자,나물을 좋아하는 직장인,"경채류 (두릅), 엽채류 (미나리), 버섯",견과류 (은행)
20대 남자,다양한 재료를 사용해 요리하는 게 취미인 직장인,"견과류 (밤), 조개류 (홍합), 그외고기, 엽채류 (갓)",
20대 여자,버섯과 나물류를 싫어하는 직장인,소고기,"버섯, 경채류 (죽순), 구근류 (마늘)"
20대 여자,양식을 좋아하는 직장인,"화채류 (컬리플라워), 열대과일 (아보카도)","엽채류 (쑥갓), 연체류 (해삼)"
20대 여자,"페스코 베지테리언인 대학생 (채식을 하면서 유제품, 가금류의 알, 어류는 먹는 채식주의자)","어류 (고등어), 근채류 (감자)","소고기,  돼지고기"
30대 남자,베이킹이 취미인 고등학생 (베이킹할 때 자주 사용하는 재료),"유제품 (버터), 인과류 (유자), 열대과일 (망고)",과채류 (고추)
30대 남자,당뇨 위험군으로 당뇨에 좋은 음식을 먹으려 노력하는 주부 (당분이 많은 재료 자제),"어류 (참치), 근채류 (고구마)","열대과일 (바나나), 핵과류 (복숭아)"
30대 여자,평소에 면 요리를 좋아하는 직장인,"소고기, 과채류 중 야채 (토마토), 달걀",경채류 (마늘쫑)
30대 여자,해산물 알레르기가 있는 대학생,근채류 (순무),"어류 (도미), 갑각류 (랍스터), 조개류 (굴)"
30대 여자,갑각류 알레르기가 있는 대학생,"두부, 유제품 (요구르트)","갑각류 (새우), 과채류 중 야채 (피망)"
30대 여자,"요리를 최근에 시작한 자취생 (요리하기 쉬운 재료, 자주 사용하는 재료)","구근류 (양파), 오리고기","조개류 (전복), 연체류 (꼴뚜기)"
40대 남자,자주 앉아있어 가벼운 음식을 찾는 프리랜서,"과채류 중 야채 (오이), 근채류 (당근), 장과류 (포도)",조개류 (모시조개)
40대 남자,아침과 간식을 과일로 먹는 고등학생,"인과류 (사과), 핵과류 (살구), 장과류 (포도), 열대과일 (파인애플)",
40대 남자,가벼운 식단 다이어트를 시작한 대학생,"닭, 화채류 (브로콜리), 엽채류 (양배추), 달걀",
40대 여자,잦은 소화불량을 겪는 직장인 ,"핵과류 (매실), 엽채류 (양배추)","조개류 (굴), 어류 (붕어)"
50대 남자,잦은 소화불량을 겪는 대학생,"화채류 (브로콜리), 열대과일 (바나나), 근채류 (무)",유제품 (우유)
50대 여자,달걀 알레르기가 있는 직장인,"근채류 (당근), 인과류 (감), 갑각류 (가재)",달걀
50대 여자,해산물을 좋아하는 사람,"어류 (메기), 연체류 (낙지), 갑각류 (랍스터), 조개류 (바지락)",
60대 여자,"저탄고지 식단을 시도하는 직장인 (저탄수화물, 고지방)","엽채류 (시금치), 유제품 (버터), 달걀, 돼지고기",
60대 여자,견과류 알레르기가 있는 사람,"버섯, 두부, 닭",호두 (견과류)
